Rating,Industry,Sector,Revenue,cada_hora,empleador,sueldo_min,sueldo_max,sueldo_promedio,titulo,senioridad,python_yn,r_yn,spark_yn,aws_yn,excel_yn,len_desc,compania,estado,HQ,tamano,ano,org,num_comps
3.8,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),0,0,53,91,72.0,cientifico de datos,na,1,0,0,0,1,2536,Tecolote Research,NM,0,501-1000 ,47,privado,-1
3.4,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),0,0,63,112,87.5,cientifico de datos,na,1,0,0,0,0,4783,University of Maryland Medical System,MD,0,10000+ ,36,na,-1
4.8,Security Services,Business Services,$100 to $500 million (USD),0,0,80,90,85.0,cientifico de datos,na,1,0,1,0,1,3461,KnowBe4,FL,1,501-1000 ,10,privado,-1
3.8,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,56,97,76.5,cientifico de datos,na,1,0,0,0,0,3883,PNNL,WA,1,1001-5000 ,55,gubernamental,3
2.9,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,86,143,114.5,cientifico de datos,na,1,0,0,0,1,2728,Affinity Solutions,NY,1,51-200 ,22,privado,3
3.4,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,71,119,95.0,cientifico de datos,na,1,0,0,1,1,3747,CyrusOne,TX,1,201-500 ,20,publico,3
4.1,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,54,93,73.5,cientifico de datos,na,0,0,0,0,1,1786,ClearOne Advantage,MD,1,501-1000 ,12,privado,-1
3.8,Consulting,Business Services,$25 to $50 million (USD),0,0,86,142,114.0,cientifico de datos,na,1,0,1,1,1,3804,Logic20/20,CA,0,201-500 ,15,privado,-1
3.3,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,38,84,61.0,na,na,0,0,0,0,0,1538,Rochester Regional Health,NY,1,10000+ ,6,hospital,-1
4.6,Internet,Information Technology,$100 to $500 million (USD),0,0,120,160,140.0,cientifico de datos,na,1,0,1,0,0,4574,<intent>,NY,1,51-200 ,11,privado,2
3.5,Other Retail Stores,Retail,$1 to $2 billion (USD),0,0,126,201,163.5,cientifico de datos,na,1,0,0,0,0,2757,Wish,CA,0,501-1000 ,9,privado,-1
4.1,Research & Development,Business Services,$1 to $2 billion (USD),0,0,64,106,85.0,cientifico de datos,na,0,0,0,0,0,3490,ManTech,VA,0,5001-10000 ,52,publico,-1
3.2,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,106,172,139.0,cientifico de datos,na,0,0,0,0,0,3934,Walmart,TX,0,10000+ ,58,publico,3
4.1,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,46,85,65.5,analysta de datos,na,1,0,1,1,1,4897,Yesler,WA,1,201-500 ,8,privado,-1
