iShares Latin America 40 ETF
A fecha de,"31-jul-2026"
Fecha de constitución,"25-oct-2001"
Acciones en circulación,"108,750,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NU","NU HOLDINGS CLASS A","Financieros","Renta Variable","322,754,088.45","8.41","322,754,088.45","22,522,965.00","14.33","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VALE","VALE ADR REPRESENTING ONE SA","Materiales","Renta Variable","309,844,906.86","8.07","309,844,906.86","20,574,031.00","15.06","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITUB","ITAU UNIBANCO HOLDING ADR REP PRE","Financieros","Renta Variable","268,465,799.16","6.99","268,465,799.16","31,733,546.00","8.46","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBRA","PETROLEO BRASILEIRO ADR REPTG PRE","Energía","Renta Variable","221,936,280.65","5.78","221,936,280.65","12,940,891.00","17.15","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMEXICOB","GRUPO MEXICO B","Materiales","Renta Variable","218,715,186.21","5.70","218,715,186.21","18,268,804.00","11.97","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"PBR","PETROLEO BRASILEIRO ADR REPTG SA","Energía","Renta Variable","211,756,354.40","5.52","211,756,354.40","10,915,276.00","19.40","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GFNORTEO","GPO FINANCE BANORTE","Financieros","Renta Variable","164,082,426.02","4.27","164,082,426.02","14,193,318.00","11.56","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"BAP","CREDICORP LTD","Financieros","Renta Variable","159,699,228.60","4.16","159,699,228.60","398,670.00","400.58","Perú","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMXB","AMERICA MOVIL B","Comunicación","Renta Variable","134,647,368.80","3.51","134,647,368.80","105,853,453.00","1.27","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Productos básicos de consumo","Renta Variable","125,152,345.48","3.26","125,152,345.48","9,805,569.00","12.76","México","Bolsa Mexicana De Valores","USD","17.35","MXN","-"
"BBD","BANCO BRADESCO ADR REPTG PREF SA","Financieros","Renta Variable","111,995,798.87","2.92","111,995,798.87","31,023,767.00","3.61","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
