iShares Latin America 40 ETF
A fecha de,"31-ago-2026"
Fecha de constitución,"25-oct-2001"
Acciones en circulación,"110,500,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NU","NU HOLDINGS CLASS A","Financieros","Renta Variable","332,982,526.35","8.63","332,982,526.35","22,885,397.00","14.55","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VALE","VALE ADR REPRESENTING ONE","Materiales","Renta Variable","315,458,004.27","8.18","315,458,004.27","20,905,103.00","15.09","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMEXICOB","GRUPO MEXICO B","Materiales","Renta Variable","255,932,494.54","6.63","255,932,494.54","18,658,467.00","13.72","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"ITUB","ITAU UNIBANCO HOLDING ADR REP PRE","Financieros","Renta Variable","245,378,331.56","6.36","245,378,331.56","32,244,196.00","7.61","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBRA","PETROLEO BRASILEIRO ADR REPTG PRE","Energía","Renta Variable","228,794,931.60","5.93","228,794,931.60","13,149,134.00","17.40","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBR","PETROLEO BRASILEIRO ADR REPTG SA","Energía","Renta Variable","214,609,302.00","5.56","214,609,302.00","11,090,920.00","19.35","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GFNORTEO","GPO FINANCE BANORTE","Financieros","Renta Variable","162,965,927.06","4.22","162,965,927.06","14,421,714.00","11.30","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"BAP","CREDICORP LTD","Financieros","Renta Variable","148,413,943.16","3.85","148,413,943.16","405,082.00","366.38","Perú","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMXB","AMERICA MOVIL B","Comunicación","Renta Variable","123,838,516.68","3.21","123,838,516.68","107,557,004.00","1.15","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Productos básicos de consumo","Renta Variable","120,009,774.86","3.11","120,009,774.86","9,963,356.00","12.05","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"SCCO","SOUTHERN COPPER CORP","Materiales","Renta Variable","105,127,612.92","2.73","105,127,612.92","503,316.00","208.87","Perú","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBD","BANCO BRADESCO ADR REPTG PREF","Financieros","Renta Variable","103,395,440.00","2.68","103,395,440.00","31,523,000.00","3.28","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEMEXCPO","CEMEX CPO","Materiales","Renta Variable","97,060,476.08","2.52","97,060,476.08","90,235,514.00","1.08","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financieros","Renta Variable","94,182,193.29","2.44","94,182,193.29","30,082,559.00","3.13","Brasil","XBSP","USD","5.18","BRL","-"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financieros","Renta Variable","87,640,936.88","2.27","87,640,936.88","34,660,318.00","2.53","Brasil","XBSP","USD","5.18","BRL","-"
"WEGE3","WEG","Industriales","Renta Variable","84,769,249.31","2.20","84,769,249.31","8,757,179.00","9.68","Brasil","XBSP","USD","5.18","BRL","-"
"WALMEX*","WALMART DE MEXICO V","Productos básicos de consumo","Renta Variable","79,587,640.61","2.06","79,587,640.61","28,797,977.00","2.76","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"ABEV","AMBEV ADR REPRESENTING ONE SA","Productos básicos de consumo","Renta Variable","72,816,084.46","1.89","72,816,084.46","25,371,458.00","2.87","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Servicios","Renta Variable","68,688,035.82","1.78","68,688,035.82","14,076,700.00","4.88","Brasil","XBSP","USD","5.18","BRL","-"
"AXIA3","AXIA ENERGIA SA","Servicios","Renta Variable","68,547,039.28","1.78","68,547,039.28","6,685,401.00","10.25","Brasil","XBSP","USD","5.18","BRL","-"
"BBAS3","BANCO DO BRASIL SA","Financieros","Renta Variable","68,379,221.15","1.77","68,379,221.15","17,080,958.00","4.00","Brasil","XBSP","USD","5.18","BRL","-"
"SQM","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materiales","Renta Variable","67,265,479.54","1.74","67,265,479.54","851,354.00","79.01","Chile","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIB","GRUPO CIBEST AMERICAN DEPOSITARY S","Financieros","Renta Variable","63,031,170.60","1.63","63,031,170.60","655,755.00","96.12","Colombia","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHILE","BANCO DE CHILE","Financieros","Renta Variable","57,111,789.14","1.48","57,111,789.14","276,998,111.00","0.21","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"TIGO","MILLICOM INTERNATIONAL CELLULAR","Comunicación","Renta Variable","54,311,042.56","1.41","54,311,042.56","579,256.00","93.76","Suecia","NASDAQ","USD","1.00","USD","-"
"PAC","GRUPO AEROPORTUARIO DEL PACIFICO A","Industriales","Renta Variable","50,120,672.28","1.30","50,120,672.28","243,257.00","206.04","México","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDOR3","REDE DOR SAO LUIZ SA","Cuidado de la Salud","Renta Variable","40,663,640.40","1.05","40,663,640.40","5,988,351.00","6.79","Brasil","XBSP","USD","5.18","BRL","-"
"LTM","LATAM AIRLINES GROUP","Industriales","Renta Variable","38,949,602.97","1.01","38,949,602.97","1,507,674,215.00","0.03","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"RENT3","LOCALIZA RENT A CAR","Industriales","Renta Variable","34,989,764.38","0.91","34,989,764.38","5,168,947.00","6.77","Brasil","XBSP","USD","5.18","BRL","-"
"GGB","GERDAU SA ADR REPRESENTING PREF","Materiales","Renta Variable","34,897,838.30","0.90","34,897,838.30","7,570,030.00","4.61","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AC*","ARCA CONTINENTAL","Productos básicos de consumo","Renta Variable","33,634,104.45","0.87","33,634,104.45","2,940,856.00","11.44","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"FALABELLA","FALABELLA SACI","Consumo discrecional","Renta Variable","32,579,792.11","0.84","32,579,792.11","4,922,000.00","6.62","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"BSAC","BANCO SANTANDER CHILE ADR REPRESEN","Financieros","Renta Variable","32,118,035.00","0.83","32,118,035.00","924,260.00","34.75","Chile","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIMBOA","GRUPO BIMBO A","Productos básicos de consumo","Renta Variable","28,429,496.94","0.74","28,429,496.94","8,183,294.00","3.47","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"FUNO11","FIBRA UNO ADMINISTRACION REIT","Inmobiliario","Renta Variable","28,197,346.16","0.73","28,197,346.16","16,385,246.00","1.72","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"USD","USD CASH","Liquidez","Cash","27,270,964.42","0.71","27,270,964.42","27,270,964.00","100.00","Estados Unidos","-","USD","1.00","USD","-"
"GCARSOA1","GRUPO CARSO SERIES A1","Industriales","Renta Variable","26,329,696.82","0.68","26,329,696.82","3,211,416.00","8.20","México","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"VIV","TELEFONICA BRASIL ADS REPRESENTING","Comunicación","Renta Variable","25,569,755.00","0.66","25,569,755.00","2,215,750.00","11.54","Brasil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EC","ECOPETROL ADR REPRESENTING SA","Energía","Renta Variable","24,560,077.70","0.64","24,560,077.70","1,473,310.00","16.67","Colombia","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISA","INTERCONEXION ELECTRICA SA","Servicios","Renta Variable","23,346,486.32","0.61","23,346,486.32","2,634,071.00","8.86","Colombia","Bolsa De Valores De Colombia","USD","3,220.03","COP","-"
"CENCOSUD","CENCOSUD","Productos básicos de consumo","Renta Variable","15,449,947.79","0.40","15,449,947.79","7,374,625.00","2.10","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"COPEC","EMPRESAS COPEC SA","Consumo discrecional","Renta Variable","15,415,241.62","0.40","15,415,241.62","2,174,073.00","7.09","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"BRL","BRL CASH","Liquidez","Cash","9,843,596.63","0.26","9,843,596.63","50,997,705.00","19.30","Brasil","-","USD","5.18","BRL","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Liquidez","Money Market","7,463,970.70","0.19","7,463,970.70","7,463,971.00","1.00","Estados Unidos","-","USD","1.00","USD","-"
"MXN","MXN CASH","Liquidez","Cash","3,074,431.06","0.08","3,074,431.06","52,363,095.00","5.87","México","-","USD","17.03","MXN","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Liquidez","Cash Collateral and Margins","2,276,000.00","0.06","2,276,000.00","2,276,000.00","100.00","Reino Unido","-","USD","1.00","USD","28-may-2019"
"HBCFT","CASH COLLATERAL MXN HBCFT","Liquidez","Cash Collateral and Margins","1,746,321.59","0.05","1,746,321.59","29,743,000.00","5.87","México","-","USD","17.03","MXN","19-feb-2019"
"CLP","CLP CASH","Liquidez","Cash","364,975.65","0.01","364,975.65","340,757,687.00","0.11","Chile","-","USD","933.65","CLP","-"
"COP","COP CASH","Liquidez","Cash","652.97","0.00","652.97","2,102,597.00","0.03","Colombia","-","USD","3,220.03","COP","-"
"ISU6","MEXICAN BOLSA INDEX FUTURE SEP 26","Liquidez","Futures","0.00","0.00","20,260,900.20","527.00","3,844.57","-","Mercado Mexicano De Derivados","USD","17.03","MXN","-"
"MCBU6","BCLEAR MSCI BRAZIL INDEX SEP 26","Liquidez","Futures","0.00","0.00","32,299,410.00","429.00","752.90","-","IFLL","USD","1.00","USD","-"
"MXN","MXN/USD","Liquidez","FX","-333.63","0.00","-333.63","8,683,571.00","1.00","Estados Unidos","-","USD","17.03","USD","-"
"BRL","BRL/USD","Liquidez","FX","-2,188.49","0.00","-2,188.49","-2,641,067.00","1.00","Estados Unidos","-","USD","5.18","USD","-"
 
