Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
ABEV,AMBEV ADR REPRESENTING ONE SA,Productos básicos de consumo,Renta Variable,77655614.61,2.02,77655614.61,24969651,3.11,Brasil,New York Stock Exchange Inc.,USD,1,USD,-
AC*,ARCA CONTINENTAL,Productos básicos de consumo,Renta Variable,33105853.53,0.86,33105853.53,2894285,11.44,México,Bolsa Mexicana De Valores,USD,17.35,MXN,-
AMXB,AMERICA MOVIL B,Comunicación,Renta Variable,134647368.8,3.51,134647368.8,105853453,1.27,México,Bolsa Mexicana De Valores,USD,17.35,MXN,-
AXIA3,AXIA ENERGIA SA,Servicios,Renta Variable,68402775.89,1.78,68402775.89,6579526,10.4,Brasil,XBSP,USD,5.08,BRL,-
B3SA3,B3 BRASIL BOLSA BALCAO SA,Financieros,Renta Variable,91662398.8,2.39,91662398.8,29606139,3.1,Brasil,XBSP,USD,5.08,BRL,-
BAP,CREDICORP LTD,Financieros,Renta Variable,159699228.6,4.16,159699228.6,398670,400.58,Perú,New York Stock Exchange Inc.,USD,1,USD,-
BBAS3,BANCO DO BRASIL SA,Financieros,Renta Variable,70641179.28,1.84,70641179.28,16810450,4.2,Brasil,XBSP,USD,5.08,BRL,-
BBD,BANCO BRADESCO ADR REPTG PREF SA,Financieros,Renta Variable,111995798.87,2.92,111995798.87,31023767,3.61,Brasil,New York Stock Exchange Inc.,USD,1,USD,-
BIMBOA,GRUPO BIMBO A,Productos básicos de consumo,Renta Variable,28760547.55,0.75,28760547.55,8053696,3.57,México,Bolsa Mexicana De Valores,USD,17.35,MXN,-
BSAC,BANCO SANTANDER CHILE ADR REPRESEN,Financieros,Renta Variable,31482052.03,0.82,31482052.03,909623,34.61,Chile,New York Stock Exchange Inc.,USD,1,USD,-
CEMEXCPO,CEMEX CPO,Materiales,Renta Variable,104978576.26,2.73,104978576.26,88806450,1.18,México,Bolsa Mexicana De Valores,USD,17.35,MXN,-
CENCOSUD,CENCOSUD SA,Productos básicos de consumo,Renta Variable,15281343.66,0.4,15281343.66,7257837,2.11,Chile,Santiago Stock Exchange,USD,928.48,CLP,-
CHILE,BANCO DE CHILE,Financieros,Renta Variable,56875552.42,1.48,56875552.42,272611267,0.21,Chile,Santiago Stock Exchange,USD,928.48,CLP,-
CIB,GRUPO CIBEST AMERICAN DEPOSITARY S,Financieros,Renta Variable,59710002.48,1.56,59710002.48,645374,92.52,Colombia,New York Stock Exchange Inc.,USD,1,USD,-
EC,ECOPETROL ADR REPRESENTING SA,Energía,Renta Variable,24316147.83,0.63,24316147.83,1449979,16.77,Colombia,New York Stock Exchange Inc.,USD,1,USD,-
FALABELLA,FALABELLA SACI SA,Consumo discrecional,Renta Variable,32430217.16,0.84,32430217.16,4844055,6.69,Chile,Santiago Stock Exchange,USD,928.48,CLP,-
