ID_MES,DEPARTAMENTO,SITIO_TURISTICO,NUMERO_VISITANTES
1,0,9,331
1,0,17,4106
1,0,40,3986
1,0,58,590
1,0,140,525
1,0,145,286
1,1,33,9
1,1,51,0
1,1,133,64
1,2,45,29597
1,2,117,198
1,2,126,133
1,2,135,179
1,2,146,39204
1,3,10,61
1,3,23,397
1,3,53,19
1,3,67,72
1,3,120,73
1,3,132,739
1,4,11,1306
1,4,31,1663
1,4,47,1256
1,4,144,90
1,5,56,987
1,5,86,434
1,5,124,5387
1,6,1,4427
1,6,2,50824
1,6,3,8334
1,6,4,29
1,6,14,305207
1,6,16,386
1,6,18,119729
1,6,21,95
1,6,22,9235
1,6,35,162530
1,6,41,76610
1,6,66,826
1,6,73,4422
1,6,79,18102
1,6,93,806
1,6,94,163877
1,6,95,8187
1,6,96,105981
1,6,97,13833
1,6,104,71556
1,6,127,10959
1,6,131,317997
1,6,137,3405
1,6,138,175298
1,6,139,146145
1,6,141,82790
1,6,142,89535
1,6,143,66485
1,7,50,5
1,7,87,6
1,8,27,30
1,8,28,158
1,8,99,349
1,9,44,18636
1,9,75,1887
1,9,88,1765
1,9,116,33071
1,9,121,103
1,9,122,73286
1,9,123,95
1,10,76,47
1,10,89,0
1,10,130,0
1,11,24,1754
1,11,25,10995
1,11,26,2543
1,11,65,2819
1,11,92,8786
1,12,68,1363
1,12,69,55
1,12,71,971
1,12,77,3956
1,12,82,1404
1,12,84,565
1,12,109,31
1,12,129,305
1,13,6,135
1,13,12,0
1,13,13,81528
1,13,15,835
1,13,29,664
1,13,43,4787
1,13,55,561
1,13,57,1226
1,13,59,5
1,13,61,53
1,13,62,6
1,13,63,13
1,13,70,44526
1,13,72,2978
1,13,74,12442
1,13,78,0
1,13,81,7212
1,13,83,271
1,13,85,332
1,13,110,512
1,13,114,50
1,13,125,489
1,13,147,33
1,14,32,345
1,14,49,0
1,14,111,134
1,14,115,5430
1,14,149,679
1,15,100,354
1,15,118,10401
1,16,54,234
1,16,113,33
1,17,102,67
1,17,134,127
1,18,5,304
1,18,128,19
1,18,148,134
1,19,20,10671
1,19,30,6025
1,19,36,4913
1,19,37,13512
1,19,38,5118
1,19,91,53
1,19,119,20624
1,20,0,213
1,20,7,1368
1,20,34,95
1,20,39,1445
1,20,42,998
1,20,105,870
1,20,112,207
1,21,60,51
1,21,80,487
1,22,64,30
1,22,98,5
1,22,136,42
1,23,8,634
1,23,103,794
1,23,106,2434
1,23,107,943
1,23,108,3616
1,23,150,814
1,24,19,7
1,24,46,1806
1,24,48,224
1,24,52,441
1,24,90,269
1,24,101,23785
2,0,9,362
2,0,17,4031
2,0,40,4011
2,0,58,520
2,0,140,414
2,0,145,289
2,1,33,0
2,1,51,0
2,1,133,26
2,2,45,25774
2,2,117,75
2,2,126,61
2,2,135,130
2,2,146,29428
2,3,10,6
2,3,23,413
2,3,53,13
2,3,67,70
2,3,120,60
2,3,132,600
2,4,11,1344
2,4,31,1813
2,4,47,1657
2,4,144,26
2,5,56,672
2,5,86,342
2,5,124,5108
2,6,1,0
2,6,2,7253
2,6,3,0
2,6,4,0
2,6,14,233245
2,6,16,307
2,6,18,97466
2,6,21,36
2,6,22,5843
2,6,35,117381
2,6,41,55022
2,6,66,546
2,6,73,3541
2,6,79,13227
