TIPO,OBSERVACION
Libre,
Libre,
Libre,El recurso se encuentra junto a la carretera que conduce al mirador Yurac Urco y no existe boletería o control alguno
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Compra de boleto para acceso a tres atractivos turísticos. Entrada general: S/5.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Se paga el ingreso al pueblo de Queropalca, S/. 40.00 Extranjeros y S/. 30.00 Nacionales. Monto único para visitar los recursos que se encuentran dentro de la reserva."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","El ingreso al recurso se paga en Queropalca con tarifa única de S/40, mientras que el acceso al campamento cuesta S/25 para nacionales y S/30 para extranjeros, pago en la comunidad de Quishuarcancha."
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Previa coordinación con la persona responsable de la vigilancia del templo.
Semi-restringido(previo permiso),En la puerta esta el número del responsable del templo para que puedan ingresar.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Locales: S/. 5.00 Nacionales y extranjeros: S/. 10.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos : S/.5.00 Estudiantes de educación superior : S/.2.00 Estudiantes de educación escolar : S/.1.00
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo del ticket es de S/1.00, para los niños y adultos. Los niños menores de 5 años ingresan gratis."
Semi-restringido(previo permiso),Presentar una solicitud dirigida a la Jefatura de Área a través de la mesa virtual: https:mesadepartesvirtual.sernanp.gob.pe
Libre,Recoger y retornar los desperdicios que se puedan generar durante la visita. Evitar la contaminación auditiva que pueda ahuyentar o molestar a las aves de la zona.
Libre,Sin restricciones
Libre,"Se recomienda llevar bloqueador solar, lentes de sol , agua,y repelente"
Libre,"Se recomienda llevar gorro, bloqueador solar, agua, lentes de sol y repelente"
Libre,
Libre,De lunes a viernes. Fines de semana previa coordinación con el Área de Imagen Institucional y Turismo de la Municipalidad del CP San Lucas de Colán.
Libre,"Importante especificar que solo combis llegan a la playa en enero,febrero, marzo, fuera de temporada solo es posible llegar por un auto particular"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo de ingreso: Niños/as: S/ 2. 00 Adultos/as: S/ 5. 00 Estudiantes: S/ 2. 00 Extranjeros: S/ 5. 00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","El precio general de entrada es de S/ 5.00 la misma tendrá que ser adquirido en el parador turístico numparket, no se cuenta con precios diferenciados."
Libre,"Se recomienda coordinar con la municipalidad de Yamón, para gestionar el ingreso o comunicarse al celular 973732408 con la Sra. Marisol Fernández Sigueñas."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa general: S./ 5.00, adultos mayores de 65 años, no pagan."
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/ 5.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/ 10.00 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos:10.00-Estudiantes:5.00-Niños:1.00
Libre,Lunes a domingo
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo adultos: 10, estudiantes:5, niños: 1"
