,cantidad,nombre,categoria,precio,dia,dia_semana,mes
7,3,Tomates,Frutas y Verduras,5200,1,4,2
8,6,Cerveza,Bebidas,9200,1,4,2
9,1,Jugos de frutas,Bebidas,7600,1,4,2
10,2,Bananas,Frutas y Verduras,5800,1,4,2
11,6,Asado,Carniceria,22800,1,4,2
12,4,Chorizo,Carniceria,9000,1,4,2
13,1,Tortas,Panaderia,12200,1,4,2
14,4,Bananas,Frutas y Verduras,5800,1,4,2
15,1,Galletitas de agua,Galletitas y Snacks,4200,2,5,2
16,6,Queso cremoso,Lacteos,13800,2,5,2
17,3,Yogur,Lacteos,4200,2,5,2
18,4,Milanesa,Carniceria,13000,2,5,2
19,4,Galletitas de chocolate,Galletitas y Snacks,5000,2,5,2
20,5,Asado,Carniceria,22800,2,5,2
21,6,Galletitas de agua,Galletitas y Snacks,4200,2,5,2
22,1,Queso rallado,Lacteos,15400,2,5,2
23,3,Papas chips,Galletitas y Snacks,6800,3,6,2
24,3,Pan frances,Panaderia,6500,3,6,2
25,5,Costilla de cerdo,Carniceria,11400,3,6,2
26,4,Asado,Carniceria,22800,3,6,2
27,5,Chorizo,Carniceria,9000,3,6,2
28,1,Papas fritas,Congelados,6600,3,6,2
29,1,Galletitas de chocolate,Galletitas y Snacks,5000,4,7,2
30,3,Tomates,Frutas y Verduras,5200,4,7,2
31,2,Garbanzos,Conservas,2900,4,7,2
32,1,Agua mineral,Bebidas,5000,4,7,2
33,3,Arroz,Conservas,3400,4,7,2
34,2,Empanadas,Congelados,10800,4,7,2
35,1,Zanahorias,Frutas y Verduras,2600,4,7,2
36,6,Queso rallado,Lacteos,15400,5,1,2
37,6,Manteca,Lacteos,4500,5,1,2
38,5,Manteca,Lacteos,4500,5,1,2
39,2,Pan integral,Panaderia,10000,5,1,2
40,6,Cerveza,Bebidas,9200,5,1,2
41,5,Papas fritas,Congelados,6600,5,1,2
42,2,Pan integral,Panaderia,10000,5,1,2
43,1,Arroz,Conservas,3400,6,2,2
44,4,Salchicha,Carniceria,9000,6,2,2
45,6,Tomates,Frutas y Verduras,5200,6,2,2
46,3,Leche,Lacteos,9800,6,2,2
47,6,Milanesa,Carniceria,13000,6,2,2
48,3,Queso cremoso,Lacteos,13800,6,2,2
49,6,Jugos de frutas,Bebidas,7600,6,2,2
50,2,Bananas,Frutas y Verduras,5800,6,2,2
51,4,Arroz,Conservas,3400,7,3,2
52,2,Galletitas de agua,Galletitas y Snacks,4200,7,3,2
53,6,Chorizo,Carniceria,9000,7,3,2
54,6,Pan frances,Panaderia,6500,7,3,2
55,3,Papas fritas,Congelados,6600,7,3,2
56,2,Manzanas,Frutas y Verduras,5200,7,3,2
57,3,Asado,Carniceria,22800,7,3,2
58,2,Queso cremoso,Lacteos,13800,7,3,2
59,3,Pizza congelada,Congelados,12400,7,3,2
60,5,Lentejas,Conservas,2600,8,4,2
61,2,Agua mineral,Bebidas,5000,8,4,2
62,2,Atun enlatado,Conservas,5000,8,4,2
63,4,Manies,Galletitas y Snacks,4400,8,4,2
64,4,Salchicha,Carniceria,9000,9,5,2
65,1,Cerveza,Bebidas,9200,9,5,2
66,2,Manzanas,Frutas y Verduras,5200,9,5,2
67,6,Pizza congelada,Congelados,12400,9,5,2
68,3,Manzanas,Frutas y Verduras,5200,9,5,2
69,1,Cebolla,Frutas y Verduras,3400,9,5,2
70,6,Leche,Lacteos,9800,9,5,2
71,5,Asado,Carniceria,22800,9,5,2
72,3,Costilla de cerdo,Carniceria,11400,10,6,2
73,4,Cerveza,Bebidas,9200,10,6,2
74,2,Cebolla,Frutas y Verduras,3400,10,6,2
75,3,Jugos de frutas,Bebidas,7600,10,6,2
76,6,Empanadas,Congelados,10800,10,6,2
77,1,Tortas,Panaderia,12200,10,6,2
78,3,Queso cremoso,Lacteos,13800,11,7,2
79,5,Pan integral,Panaderia,10000,11,7,2
80,1,Cerveza,Bebidas,9200,11,7,2
81,2,Tomates,Frutas y Verduras,5200,11,7,2
82,6,Pan integral,Panaderia,10000,11,7,2
83,3,Jugos de frutas,Bebidas,7600,11,7,2
84,3,Agua mineral,Bebidas,5000,11,7,2
85,1,Agua mineral,Bebidas,5000,11,7,2
86,1,Salchicha,Carniceria,9000,11,7,2
87,5,Garbanzos,Conservas,2900,11,7,2
88,3,Cerveza,Bebidas,9200,11,7,2
89,4,Tomates,Frutas y Verduras,5200,11,7,2
90,4,Garbanzos,Conservas,2900,11,7,2
91,2,Atun enlatado,Conservas,5000,12,1,2
92,4,Zanahorias,Frutas y Verduras,2600,12,1,2
93,2,Facturas,Panaderia,9900,12,1,2
94,4,Queso rallado,Lacteos,15400,12,1,2
95,6,Facturas,Panaderia,9900,12,1,2
96,2,Facturas,Panaderia,9900,12,1,2
97,4,Bananas,Frutas y Verduras,5800,12,1,2
98,4,Atun enlatado,Conservas,5000,13,2,2
99,4,Cebolla,Frutas y Verduras,3400,13,2,2
100,4,Empanadas,Congelados,10800,13,2,2
101,3,Cerveza,Bebidas,9200,13,2,2
102,3,Leche,Lacteos,9800,13,2,2
103,4,Salchicha,Carniceria,9000,13,2,2
104,1,Lechugas,Frutas y Verduras,3400,13,2,2
105,2,Arroz,Conservas,3400,13,2,2
106,3,Papas chips,Galletitas y Snacks,6800,13,2,2
107,4,Hamburgesas congeladas,Congelados,7600,13,2,2
108,4,Cerveza,Bebidas,9200,13,2,2
109,2,Pan frances,Panaderia,6500,13,2,2
110,5,Agua mineral,Bebidas,5000,14,3,2
111,6,Queso rallado,Lacteos,15400,14,3,2
112,1,Leche,Lacteos,9800,14,3,2
113,6,Medialunas,Panaderia,2800,14,3,2
114,5,Zanahorias,Frutas y Verduras,2600,14,3,2
115,5,Manzanas,Frutas y Verduras,5200,14,3,2
116,5,Arroz,Conservas,3400,15,4,2
117,3,Empanadas,Congelados,10800,15,4,2
118,6,Empanadas,Congelados,10800,15,4,2
119,3,Pan integral,Panaderia,10000,15,4,2
120,1,Leche,Lacteos,9800,15,4,2
121,4,Papas chips,Galletitas y Snacks,6800,15,4,2
122,1,Arroz,Conservas,3400,15,4,2
123,5,Chorizo,Carniceria,9000,15,4,2
124,3,Pan frances,Panaderia,6500,15,4,2
