,ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado
0,919,31/01/2024,10,25,5,1,Completa
1,947,31/01/2024,106,5,1,4,Completa
2,1317,31/1/2024,235,25,3,3,Completa
3,1607,31/1/2024,114,15,5,1,Completa
4,2038,31/1/2024,132,2,5,4,Completa
5,2436,31/1/2024,282,3,3,1,Completa
6,2578,31/1/2024,201,31,6,3,Completa
7,448,01/02/2024,5,19,3,4,Pendiente
8,492,01/02/2024,114,29,6,4,Completa
9,1099,1/2/2024,282,28,1,4,Completa
10,1439,1/2/2024,130,18,2,2,Completa
11,1565,1/2/2024,97,6,6,2,Completa
12,1776,1/2/2024,247,7,4,4,Completa
13,2190,1/2/2024,98,16,1,1,Pendiente
14,2755,1/2/2024,27,18,4,4,Completa
15,43,02/02/2024,294,31,1,4,Completa
16,272,02/02/2024,60,3,6,4,Completa
17,349,02/02/2024,203,2,3,4,Completa
18,351,02/02/2024,45,8,4,3,Completa
19,822,02/02/2024,1,32,4,5,Completa
20,1078,2/2/2024,218,6,5,5,Completa
21,1595,2/2/2024,129,31,6,1,Completa
22,2746,2/2/2024,217,4,1,4,Completa
23,262,03/02/2024,156,33,3,4,Pendiente
24,997,03/02/2024,245,12,3,5,Completa
25,1221,3/2/2024,251,10,5,5,Pendiente
26,1931,3/2/2024,204,6,4,5,Completa
27,1967,3/2/2024,32,7,5,4,Completa
28,2328,3/2/2024,275,23,1,2,Completa
29,420,04/02/2024,259,32,1,2,Pendiente
30,546,04/02/2024,66,19,3,4,Completa
31,680,04/02/2024,112,37,2,5,Completa
32,2263,4/2/2024,48,27,1,5,Completa
33,2752,4/2/2024,125,35,3,4,Completa
34,2889,4/2/2024,48,24,2,3,Pendiente
35,2896,4/2/2024,106,21,1,2,Completa
36,680,04/02/2024,112,37,2,5,Completa
37,277,05/02/2024,159,4,6,4,Completa
38,497,05/02/2024,169,5,6,3,Completa
39,503,05/02/2024,169,5,5,1,Completa
40,1198,5/2/2024,102,13,2,1,Completa
41,1449,5/2/2024,172,29,6,2,Completa
42,1759,5/2/2024,255,23,5,5,Pendiente
43,2873,5/2/2024,230,13,2,2,Completa
44,484,06/02/2024,168,35,1,2,Completa
45,593,06/02/2024,258,11,4,5,Completa
46,809,06/02/2024,159,19,6,5,Pendiente
47,1656,6/2/2024,283,1,3,4,Completa
48,1735,6/2/2024,130,8,6,5,Completa
49,2126,6/2/2024,181,3,3,4,Pendiente
50,2540,6/2/2024,75,28,6,1,Pendiente
51,2680,6/2/2024,155,18,2,4,Completa
52,116,07/02/2024,71,35,4,3,Completa
53,215,07/02/2024,64,31,2,4,Pendiente
54,441,07/02/2024,21,7,6,3,Completa
55,471,07/02/2024,108,12,6,5,Pendiente
56,1136,7/2/2024,187,23,3,3,Completa
57,1753,7/2/2024,35,17,2,4,Pendiente
58,2127,7/2/2024,180,6,3,3,Completa
59,2209,7/2/2024,151,3,2,1,Completa
60,2935,7/2/2024,164,25,3,4,Completa
61,734,08/02/2024,212,36,5,2,Completa
62,2043,8/2/2024,318,27,2,5,Completa
63,2335,8/2/2024,56,38,2,5,Completa
64,2770,8/2/2024,295,34,4,2,Completa
65,226,09/02/2024,3,11,4,1,Completa
66,1044,9/2/2024,69,29,1,5,Completa
67,1162,9/2/2024,104,17,2,3,Completa
68,1725,9/2/2024,293,25,6,4,Completa
69,1878,9/2/2024,214,17,3,4,Completa
70,2480,9/2/2024,278,22,1,1,Completa
71,2610,9/2/2024,78,1,6,4,Completa
72,2947,9/2/2024,28,6,5,4,Pendiente
73,117,10/02/2024,288,10,3,2,Pendiente
74,1102,10/2/2024,59,29,4,3,Completa
75,1217,10/2/2024,144,22,2,4,Completa
76,1363,10/2/2024,314,28,3,3,Pendiente
77,1600,10/2/2024,230,24,6,3,Completa
78,2719,10/2/2024,57,16,1,4,Completa
79,621,11/02/2024,166,3,3,3,Completa
80,995,11/02/2024,224,13,5,5,Completa
81,1218,11/2/2024,34,29,1,2,Completa
82,1362,11/2/2024,120,19,2,5,Pendiente
83,1651,11/2/2024,85,13,6,4,Completa
84,1680,11/2/2024,241,28,3,3,Completa
85,1754,11/2/2024,212,27,3,5,Completa
86,1934,11/2/2024,69,27,1,2,Completa
87,2534,11/2/2024,250,11,1,5,Completa
88,2642,11/2/2024,54,37,5,4,Completa
89,2703,11/2/2024,255,29,3,1,Pendiente
90,2874,11/2/2024,87,19,4,5,Completa
91,2933,11/2/2024,307,37,4,5,Completa
92,29,12/02/2024,205,38,2,3,Completa
93,237,12/02/2024,182,21,4,1,Completa
94,488,12/02/2024,47,14,2,5,Completa
95,1168,12/2/2024,286,4,4,5,Completa
96,1540,12/2/2024,273,14,6,3,Completa
97,2007,12/2/2024,288,14,2,4,Completa
98,2236,12/2/2024,295,18,4,5,Completa
99,8,13/02/2024,214,38,4,4,Completa
100,14,13/02/2024,171,22,4,3,Completa
101,459,13/02/2024,128,24,4,3,Completa
102,681,13/02/2024,14,29,3,3,Completa
103,821,13/02/2024,43,1,3,5,Pendiente
104,908,13/02/2024,141,11,4,4,Pendiente
105,1826,13/2/2024,300,20,1,1,Completa
106,2355,13/2/2024,150,35,2,5,Completa
107,2555,13/2/2024,130,33,3,5,Completa
108,2572,13/2/2024,258,26,4,1,Completa
109,2687,13/2/2024,73,29,4,5,Completa
110,2709,13/2/2024,304,12,2,1,Pendiente
111,681,13/02/2024,14,29,3,3,Completa
112,1271,14/2/2024,190,27,5,3,Completa
113,1975,14/2/2024,118,4,6,5,Completa
114,2076,14/2/2024,5,1,1,4,Completa
115,2559,14/2/2024,87,15,6,1,Pendiente
116,2763,14/2/2024,273,21,5,5,Completa
117,2801,14/2/2024,105,17,5,3,Completa
118,34,15/02/2024,325,35,5,2,Completa
119,294,15/02/2024,85,24,3,2,Completa
120,627,15/02/2024,312,24,6,5,Completa
121,696,15/02/2024,76,13,3,1,Completa
122,938,15/02/2024,204,1,1,4,Completa
123,1700,15/2/2024,158,33,4,4,Completa
124,1928,15/2/2024,310,35,1,1,Completa
125,2214,15/2/2024,187,7,5,5,Completa
126,2238,15/2/2024,231,12,3,4,Completa
127,2481,15/2/2024,166,4,2,5,Pendiente
128,2604,15/2/2024,319,23,1,5,Completa
129,696,15/02/2024,76,13,3,1,Completa
130,481,16/02/2024,109,19,3,3,Completa
131,641,16/02/2024,184,17,5,5,Completa
132,735,16/02/2024,183,20,2,1,Completa
133,779,16/02/2024,252,14,2,3,Completa
134,1174,16/2/2024,286,14,1,1,Completa
135,1253,16/2/2024,50,13,1,2,Completa
136,1263,16/2/2024,48,38,5,3,Completa
137,1479,16/2/2024,211,33,1,1,Completa
138,2323,16/2/2024,98,25,3,3,Completa
139,2362,16/2/2024,109,36,6,1,Completa
140,2771,16/2/2024,39,7,2,3,Completa
141,2937,16/2/2024,124,3,3,2,Completa
142,207,17/02/2024,203,20,2,5,Completa
143,297,17/02/2024,302,3,4,5,Pendiente
144,386,17/02/2024,250,32,6,5,Pendiente
145,572,17/02/2024,95,18,5,1,Completa
146,812,17/02/2024,280,7,4,3,Completa
147,1079,17/2/2024,8,31,6,3,Completa
148,1095,17/2/2024,326,2,5,5,Pendiente
149,1842,17/2/2024,224,29,2,1,Completa
150,1863,17/2/2024,46,26,5,4,Completa
151,2045,17/2/2024,97,8,3,4,Completa
152,2375,17/2/2024,82,38,1,3,Completa
153,2634,17/2/2024,31,15,6,5,Completa
154,77,18/02/2024,320,27,2,3,Completa
